region_layer_pair,average ,standard deviation
RNFL_center,8.927079006,0.780417817
RNFL_inner_superior,23.37378683,3.038580019
RNFL_inner_inferior,22.35263252,2.841187796
RNFL_inner_nasal,19.04952551,2.454779113
RNFL_inner_temporal,14.10482531,1.336273324
RNFL_outer_superior,32.4024581,5.074265846
RNFL_outer_inferior,31.99837456,4.579269114
RNFL_outer_nasal,38.92648902,5.930358455
RNFL_outer_temporal,15.62435571,1.415830611
RNFL_macula,28.58307451,3.64039604
RNFL_tempora_superior,20.56414761,2.4158626
RNFL_tempora_inferior,19.41137181,2.084584761
RNFL_nasal_superior,32.95075715,4.976164079
RNFL_nasal_inferior,32.55748476,4.509160048
GCIPL_center,36.46395518,10.43386655
GCIPL_inner_superior,86.18155642,6.425890426
GCIPL_inner_inferior,87.28159621,6.405422405
GCIPL_inner_nasal,89.58606899,6.495956302
GCIPL_inner_temporal,85.66672359,6.663524937
GCIPL_outer_superior,59.70988216,5.682323932
GCIPL_outer_inferior,62.19695057,5.490781555
GCIPL_outer_nasal,67.43855539,6.20013778
GCIPL_outer_temporal,66.60850293,6.522323422
GCIPL_macula,65.73614142,4.877516349
GCIPL_tempora_superior,71.48053254,5.952700251
GCIPL_tempora_inferior,71.19495949,5.864943078
GCIPL_nasal_superior,71.17382613,5.592703834
GCIPL_nasal_inferior,73.15977994,5.568053917
INL_center,29.9530518,6.160268051
INL_inner_superior,49.09557278,3.097011051
INL_inner_inferior,49.90815547,3.08922652
INL_inner_nasal,50.94541207,3.187376648
INL_inner_temporal,46.92527437,3.037771335
INL_outer_superior,37.34995541,2.976549146
INL_outer_inferior,39.2221389,3.089797201
INL_outer_nasal,42.66880355,3.504949707
INL_outer_temporal,39.10072644,2.946625623
INL_macula,40.3243651,2.50880283
INL_tempora_superior,41.37134494,2.742658292
INL_tempora_inferior,41.71795331,2.800409639
INL_nasal_superior,43.38942936,2.982311865
INL_nasal_inferior,44.75358816,3.100131874
OPL_center,18.10697563,2.131336485
OPL_inner_superior,21.89039302,0.696349269
OPL_inner_inferior,22.10637408,0.772723151
OPL_inner_nasal,22.52875927,0.860125122
OPL_inner_temporal,21.94279504,0.476930549
OPL_outer_superior,19.56335889,0.700117438
OPL_outer_inferior,19.78178841,0.662044764
OPL_outer_nasal,20.89924666,0.70020727
OPL_outer_temporal,20.80835643,0.638943052
OPL_macula,20.35226993,0.544018487
OPL_tempora_superior,20.71541262,0.575399371
OPL_tempora_inferior,20.83667375,0.593860125
OPL_nasal_superior,20.90734726,0.687961116
OPL_nasal_inferior,21.1130512,0.710675176
ONL_center,94.33601304,10.05003669
ONL_inner_superior,70.64481249,6.232235715
ONL_inner_inferior,72.09890268,6.1122872
ONL_inner_nasal,75.30585391,7.169535611
ONL_inner_temporal,73.52836392,6.234137122
ONL_outer_superior,57.67201152,4.649103356
ONL_outer_inferior,63.00102005,4.959046131
ONL_outer_nasal,62.21783559,5.279789209
ONL_outer_temporal,60.81725796,4.588282391
ONL_macula,63.83356424,4.778424544
ONL_tempora_superior,63.46918842,4.986457907
ONL_tempora_inferior,65.43258259,5.001178736
ONL_nasal_superior,63.92207835,5.433940692
ONL_nasal_inferior,66.99927722,5.598241738
IS_center,24.41168648,0.777674215
IS_inner_superior,22.44845069,0.514500828
IS_inner_inferior,22.36881935,0.503338096
IS_inner_nasal,22.46593617,0.57153255
IS_inner_temporal,22.51032809,0.443748761
IS_outer_superior,21.57299306,0.430472914
IS_outer_inferior,21.7088606,0.429013488
IS_outer_nasal,21.75560343,0.44997526
IS_outer_temporal,21.66718751,0.426096241
IS_macula,21.86940729,0.418510693
IS_tempora_superior,21.92938765,0.42204553
IS_tempora_inferior,21.89783685,0.427468554
IS_nasal_superior,21.91913963,0.47122415
IS_nasal_inferior,21.99193334,0.461041192
OS_center,32.02052431,2.085944727
OS_inner_superior,26.16683552,1.230755
OS_inner_inferior,26.36915545,1.229270646
OS_inner_nasal,27.00000803,1.312305564
OS_inner_temporal,26.58495242,1.214933121
OS_outer_superior,26.8568491,1.254532099
OS_outer_inferior,26.64960542,1.187355502
OS_outer_nasal,26.21684078,1.124402356
OS_outer_temporal,26.67730723,1.166425117
OS_macula,27.03720476,1.12636351
OS_tempora_superior,26.67426723,1.151855782
OS_tempora_inferior,26.68271575,1.144586014
OS_nasal_superior,26.49953571,1.149592927
OS_nasal_inferior,26.5505615,1.16622646
RPE_center,33.59962489,1.654867471
RPE_inner_superior,33.12665073,1.748585903
RPE_inner_inferior,33.70187483,1.745770744
RPE_inner_nasal,34.32209625,1.704075186
RPE_inner_temporal,33.69740539,1.799698846
RPE_outer_superior,31.25532702,1.783225782
RPE_outer_inferior,32.7312992,1.799982636
RPE_outer_nasal,33.63160296,1.846173772
RPE_outer_temporal,32.97146938,1.840440179
RPE_macula,32.78174587,1.643345166
RPE_tempora_superior,32.45335628,1.748479949
RPE_tempora_inferior,33.04719313,1.758388431
RPE_nasal_superior,32.80079481,1.691327736
RPE_nasal_inferior,33.74993628,1.718552573
RETINA_center,278.1354461,20.65401359
RETINA_inner_superior,332.7023497,15.17636921
RETINA_inner_inferior,336.2340925,14.97282604
RETINA_inner_nasal,341.185631,15.03098211
RETINA_inner_temporal,324.985235,14.33159867
RETINA_outer_superior,287.0724148,15.03499416
RETINA_outer_inferior,297.8176025,14.58597088
RETINA_outer_nasal,314.0912553,15.54994627
RETINA_outer_temporal,284.4812569,13.8996783
RETINA_macula,300.7004878,12.90046698
RETINA_tempora_superior,298.855983,13.81567785
RETINA_tempora_inferior,300.4823731,13.57081318
RETINA_nasal_superior,313.9383615,14.55161211
RETINA_nasal_inferior,321.177376,14.60614074
